Product Name,Belt Type,Style,Type,Sub-Group,Pitch,Width,Technical Data Thickness Inches,Rod Type,Rod Diameter Inches,Rod Hinge,Idle Roller Minimum Inch,Accessories Standard,Accessories Saniclip,Installation flyer standard,Installation flyer special,Installation flyer sprockets,Producing Unit,Portfolio Manager
HDS605_RT,HDS605RT Roller Top,Roller Top,Straight,"0.5"" RS Straight HDS605","0.5""","Standard range of belt widths in increments of 2"" (50.8mm) starting from 6"" (152.4mm). Material selection may affect belt width — please contact your local partner for actual dimensions.",0.31,Snap Fit,0.17,Closed hinge,0.75,,,,,,Habasit America (Leesport),Jeff Delair
M1065 Flat Top HyCLEAN,M1065 Flat Top,Flat Top,Straight,"0.5"" M1000 Belt type (straight belt)","0.5""","Standard belt widths in increments 2.0"" (50,8 mm). Special belt widths in increment of 1"" (25.4 mm) on request available. Please check the correct sprocket position with your local contact. Smallest possible width 3.0"" (76.2 mm).",0.31,Headless Smart Fit,0.18,Dynamic open hinge,0.5,,"M1065 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M1065_Saniclip.pdf"">PDF </a>","M1000 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M1000_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M1185 Flush Grid,M1185 Flush Grid,Flush Grid,Straight,"0.5"" M1100 Belt type (straight belts)","0.5""","Standard belt widths in increments of 50.8 mm (2""). Non-standard widths are offered in increments of 25.4 mm (1""). Smallest possible width 177.8 mm (7""). 

Note:For belts equipped with Saniclip, standard belt widths are possible only.",0.31,Headless Smart Fit,0.14,Open hinge,0.5,,"M1185 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M1185_Saniclip.pdf"">PDF </a>","M1185 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M1185_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
CM605,CM605 Curved Mesh,Curved Mesh,Straight,"0.5"" RS Straight SM605/CM605","0.5""","Standard range of belt widths in increments of 1"" (25.4mm) starting from 2"" (50.8mm) Non standard widths are offered in increments of 0.5"" (12.7mm) starting from 3"" (76.2mm) upon request. Material selection may affect belt width — please contact your local partner for actual dimensions.",0.34,Snap Fit,0.17,Closed hinge,0.75,,"SM_CM605 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_SM_CM605_Saniclip.pdf"">PDF </a>","SM_CM605 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/SM_CM605_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
M1280 Flush Grid,M1280 Flush Grid,Flush Grid,Straight,"0.5"" M1200 Belt type (straight belts)","0.5""","Standard belt widths in increments of 2.0"" (50.8 mm). Non-standard widths are offered in increments of 0.67"" (16.9 mm). Smallest possible width 6.0"" (152.4 mm).",0.34,Smart Fit,0.18,Open hinge,0.7,,,"M12XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M12XX_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M1280_ActivXchange,M1280 ActivXchange,ActivXchange,Straight,"0.5"" M1200 Belt type (straight belts)","0.5""",,0.34,Headless Smart Fit,0.18,Open hinge,1,,,"M12XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M12XX_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
SM605_GT,SM605GT GripTop,GripTop,Straight,"0.5"" RS Straight SM605/CM605","0.5""","Standard range of belt widths in increments of 1"" (25.4mm) starting from 2"" (50.8mm) Non standard widths are offered in increments of 0.5"" (12.7mm) starting from 3"" (76.2mm) upon request. Material selection may affect belt width — please contact your local partner for actual dimensions.",0.38,Snap Fit,0.17,Closed hinge,0.75,,,"SM_CM605 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/SM_CM605_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
M1220 Flat Top,M1220 Flat Top,Flat Top,Straight,"0.5"" M1200 Belt type (straight belts)","0.5""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Smallest possible width 83.4 mm (3.25""). Non-bricklayed belts 50 mm (2"") and 100 mm (4"") wide.",0.39,Snap Fit,0.2,Open hinge,0.7,"M1200 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M1200_Accessories_en.pdf"">PDF </a>","M1220 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M1220_Saniclip_2310_en.pdf"">PDF </a>","M12XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M12XX_en.pdf"">PDF </a>","M1200_Flights <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M1200_Flights_en.pdf"">PDF </a>",,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M1220_ActivXchange,M1220 ActivXchange,ActivXchange,Straight,"0.5"" M1200 Belt type (straight belts)","0.5""",,0.39,Headless Smart Fit,0.18,Open hinge,1,,,"M12XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M12XX_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M1230 Flush Grid,M1230 Flush Grid,Flush Grid,Straight,"0.5"" M1200 Belt type (straight belts)","0.5""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Smallest possible width 83.4 mm (3.25"").",0.39,Snap Fit,0.2,Open hinge,0.7,"M1200 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M1200_Accessories_en.pdf"">PDF </a>",,"M12XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M12XX_en.pdf"">PDF </a>","M1200_Flights <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M1200_Flights_en.pdf"">PDF </a>",,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
